encounter_id,encounter_name,class,spec,rank,character,guild,server,region,dps,item_level,duration_ms,report_id,fight_id,start_time,pi_received
3176,Imperator Averzian,Death Knight,Frost,1,Bungusgrippy,SOMA,Area 52,US,186486.11756066,292,185198,xBZ6C7fMwKnrm2WA,23,1782851383284,True
3176,Imperator Averzian,Death Knight,Frost,2,Kuwaang,,아즈샤라,KR,184948.24506813,291,197643,VpGZmv67NK4kXCgH,10,1782212350836,False
3176,Imperator Averzian,Death Knight,Frost,3,九九捌小魔王,,凤凰之神,CN,182571.91780822,292,201772,Z8XMyHA7Nnq2YGtB,11,1782391391927,True
3176,Imperator Averzian,Death Knight,Frost,4,Kagesendo,Resonate,Bleeding Hollow,US,177773.0618415,291,197133,r7JPKGvd9BLjNWkc,59,1782248567188,False
3176,Imperator Averzian,Death Knight,Frost,5,쿠와아아앙,,아즈샤라,KR,177449.88477823,292,200049,xqngK7hJDk4jy9GX,19,1781850414768,False
3176,Imperator Averzian,Death Knight,Frost,6,Killerman,Crimson,Gundrak,US,177351.35889999,293,186180,WDLGdvkhJ4BqxwVP,39,1782377321466,False
3176,Imperator Averzian,Death Knight,Frost,7,덤프쿠왕,,아즈샤라,KR,177039.98903504,291,211583,yZDwF72mLBQzjGvC,16,1782111756048,False
3176,Imperator Averzian,Death Knight,Frost,8,Festerbloom,No Hard Feelings,Silvermoon,EU,175843.7701571,291,187589,Dd1Mpj4CfzmT68B2,21,1781809677665,True
3176,Imperator Averzian,Death Knight,Frost,9,Noxxdk,Honestly,Frostmourne,US,173996.40067036,292,193925,1GcnD9Xkryx4TPK3,7,1782033025075,False
3176,Imperator Averzian,Death Knight,Frost,10,Joepun,Dont Release,Sargeras,US,173161.47756009,292,211565,mwxZTDXdHJ1yfzhV,14,1783036385890,False
3176,Imperator Averzian,Death Knight,Frost,11,Appelpi,SNAP,Sargeras,US,170700.64852777,291,201225,ZwF4TkaHKvzxcQMR,16,1781907100949,False
3176,Imperator Averzian,Death Knight,Frost,12,상피리의고윤정,,아즈샤라,KR,170483.08043063,291,211412,4HJ9dFfBKRvLXzhj,26,1782459666916,False
3176,Imperator Averzian,Death Knight,Frost,13,Oxyn,Spectrum,Drak'thul,EU,170446.03123716,291,199634,cyLWM4BvV3DzX6aC,14,1782923820779,False
3176,Imperator Averzian,Death Knight,Frost,14,Todlender,Vex Thal,Kazzak,EU,168869.59657184,292,167787,XKAPZJaTz3cdC8ty,12,1782929031234,False
3176,Imperator Averzian,Death Knight,Frost,15,Chorydk,BROOMERS,Burning Legion,EU,167919.25851358,292,191723,tva368FRYQfxbpzW,88,1782917637055,False
3176,Imperator Averzian,Death Knight,Frost,16,Marcn,Mung Mung Crew,Kazzak,EU,167009.86461664,292,220485,zNfD4JgmTGy8xW27,4,1782323025774,False
3176,Imperator Averzian,Death Knight,Frost,17,鼻孔补偿器,,凤凰之神,CN,166976.57838249,288,352196,kQqdctax3y2p1J4F,4,1781770627578,False
3176,Imperator Averzian,Death Knight,Frost,18,夜幕告止,,格瑞姆巴托,CN,166396.08197853,287,210055,8w6HYWzTZbtGqC1k,22,1782622902710,False
3176,Imperator Averzian,Death Knight,Frost,19,무극산,,아즈샤라,KR,166392.24441726,291,219919,RkJqYf7XC4WgV2Fd,24,1782889465994,False
3176,Imperator Averzian,Death Knight,Frost,20,Vildk,Infinity,Area 52,US,165859.34777615,292,178497,1hjKM6GZdqzbAQRF,7,1782865870894,True
3176,Imperator Averzian,Death Knight,Frost,21,Blessrng,Decidedly Uncouth,Mal'Ganis,US,165740.6355861,290,226122,hJadTwZ9fMy84PR7,48,1781650244134,True
3176,Imperator Averzian,Death Knight,Frost,22,米丶米,炉火糖粥,冰风岗,CN,165568.53642694,292,220153,TwyCGFg9D83ZLX2A,25,1782993611580,False
3176,Imperator Averzian,Death Knight,Frost,23,Kittan,,아즈샤라,KR,165504.44840304,290,199285,nr3C6qHjMtvXZ1FG,40,1782043342145,False
3176,Imperator Averzian,Death Knight,Frost,24,浮狌所爱,,罗宁,CN,165268.61358932,291,197611,K2m8LBQYkycWvGTb,5,1781955424094,False
3176,Imperator Averzian,Death Knight,Frost,25,오크쿠왕,,아즈샤라,KR,164762.91287603,291,215773,7L9jNRmCaQrXv2qM,1,1782471780777,False
3176,Imperator Averzian,Death Knight,Frost,26,故列叙时人,,燃烧之刃,CN,164689.42549804,291,216048,gQFamtJGWKjVprwL,55,1782536912167,False
3176,Imperator Averzian,Death Knight,Frost,27,独坐沏茶,,死亡之翼,CN,164354.59777968,289,300047,R2gjvqyx3XWzFdVp,106,1781925213883,True
3176,Imperator Averzian,Death Knight,Frost,28,甜甜欧尼酱丶,,白银之手,CN,164259.40503515,289,223072,Bj3kLchKQpv9qZna,14,1782018428786,True
3176,Imperator Averzian,Death Knight,Frost,29,神姝,,死亡之翼,CN,163898.63742431,291,205273,1kMLABX4pbxtW7mq,5,1782019261831,False
3176,Imperator Averzian,Death Knight,Frost,30,Zorua,Angry Mob,Mal'Ganis,US,163445.4001459,292,202876,cBvb9ar7mY1Vp2CG,26,1782868078370,False
3176,Imperator Averzian,Death Knight,Frost,31,玛莲妮婭,,凤凰之神,CN,163437.3103606,291,262340,gkZqdvnNxHtr3LXM,18,1782349952401,True
3176,Imperator Averzian,Death Knight,Frost,32,셀리에,인앤아웃,아즈샤라,KR,163398.19051529,292,202157,R2bhPxJrzXdfBq7A,18,1782471273019,False
3176,Imperator Averzian,Death Knight,Frost,33,Sandgoon,glorp,Illidan,US,163303.1552804,292,220646,QWDg7HXzPApBxMC1,10,1782840753049,True
3176,Imperator Averzian,Death Knight,Frost,34,Essnah,Dead Poets Society,아즈샤라,KR,162927.14842314,291,217648,qTHD8J2Q7cPkNpbR,18,1782721241342,False
3176,Imperator Averzian,Death Knight,Frost,35,阿尔塞斯丶,,荆棘谷,CN,162627.88059465,289,303236,f3bMwRJ9Ggj6hHLv,144,1782619288056,False
3176,Imperator Averzian,Death Knight,Frost,36,Covidkuolema,Muisted,Stormreaver,EU,162053.80126591,292,169996,BdHPhX2rRJgk6NtA,12,1782314842565,False
3176,Imperator Averzian,Death Knight,Frost,37,할애,잘하는사람,아즈샤라,KR,162001.89114547,291,206753,DAQCF2GHcpmgJxLn,11,1782020332645,False
3176,Imperator Averzian,Death Knight,Frost,38,若你仙气飘飘,,迦拉克隆,CN,161913.44248753,289,309898,wZLPz2YAdFQV196g,7,1782032194565,True
3176,Imperator Averzian,Death Knight,Frost,39,룬부패,즐와,아즈샤라,KR,161892.7070137,291,208392,dB79bja1XfDFLJnH,16,1782612861162,False
3176,Imperator Averzian,Death Knight,Frost,40,Voldkai,G A M B I T,Stormscale,EU,161652.44677067,291,196790,tgGnRL4JXyvmq9z1,9,1782490732762,False
3176,Imperator Averzian,Death Knight,Frost,41,Zangmizanam,Reaper Of Soul,Kazzak,EU,161639.63216973,288,240002,d8YBVLf9HKPZyzFh,11,1782922257484,False
3176,Imperator Averzian,Death Knight,Frost,42,蕃茄蛋饭加底,,燃烧之刃,CN,161563.92407133,293,214043,f3G1kwWZcxa4FgyN,8,1782537290013,False
3176,Imperator Averzian,Death Knight,Frost,43,Dkdkdkd,,菲米丝,CN,161291.26071682,292,198403,RgMCamLG7BTtb6pX,34,1782733363165,False
3176,Imperator Averzian,Death Knight,Frost,44,Daky,,아즈샤라,KR,161262.43259437,292,270378,7vHptYFdPBKw3RWy,8,1783040473531,False
3176,Imperator Averzian,Death Knight,Frost,45,Craziedead,get help,Tichondrius,US,161205.88961331,292,206601,3rXgL6C9kH8K2aRQ,29,1782955943372,True
3176,Imperator Averzian,Death Knight,Frost,46,Ttavo,,Sanguino,EU,161188.91362519,291,275798,MX7d2qktTHYvCcL4,3,1782312869753,False
3176,Imperator Averzian,Death Knight,Frost,47,Heraone,B L C,凤凰之神,CN,160811.21546151,291,231698,Bhmgc2MZvRwYAD8j,15,1782369302153,False
3176,Imperator Averzian,Death Knight,Frost,48,Now,时间,瓦里安,CN,160797.64982478,291,226281,myCTpHhgbtKaMW8d,21,1781781757532,False
3176,Imperator Averzian,Death Knight,Frost,49,网友董志民,,影之哀伤,CN,160725.67692943,292,256526,WJD3drtCwYzRvjZ7,1,1781871922506,False
3176,Imperator Averzian,Death Knight,Frost,50,死亡的缠绕,,白银之手,CN,160653.46354104,291,208385,WcRhkAfFVwBtXzm6,17,1781850830069,False
3176,Imperator Averzian,Death Knight,Frost,51,Hebodile,SDS,Bleeding Hollow,US,160594.73374081,291,200256,MJYZ9BKAv1hjcTHb,27,1782865118168,True
3176,Imperator Averzian,Death Knight,Frost,52,Докторстраха,ИНКВИЗИТОРЫ,Ревущий фьорд,EU,160347.38502938,292,206618,Rj9LfXvaQZA3GgPN,19,1782925211139,False
3176,Imperator Averzian,Death Knight,Frost,53,上六,,埃德萨拉,CN,160279.21276765,290,201008,kHaw4LC2nbZyr3KV,32,1781747607963,False
3176,Imperator Averzian,Death Knight,Frost,54,神器小短腿,Dopamine,凤凰之神,CN,160217.09382726,289,207104,KaLfNA1TDBtnYxFd,12,1781786914038,True
3176,Imperator Averzian,Death Knight,Frost,55,Herafi,B L C,凤凰之神,CN,160199.36812614,291,234857,azf8LmJvdKDYCb2V,24,1782471438373,False
3176,Imperator Averzian,Death Knight,Frost,56,Callmedaddy,,熊猫酒仙,CN,160191.77510576,292,311542,mNyvkj4Fp7Mb6rxq,55,1782968851048,False
3176,Imperator Averzian,Death Knight,Frost,57,吃得多,,金色平原,CN,160127.65491986,292,210270,CaTA9q1ZYv4zG7y2,11,1782993894874,False
3176,Imperator Averzian,Death Knight,Frost,58,Esoterlca,,国王之谷,CN,160021.69030156,291,194557,Y3Rgfa1GAz8hVJrw,7,1782561200278,False
